"filename", "language", "CSS", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\App.css", "CSS", 33, 0, 0, 0, 6, 39
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\App.test.tsx", "TypeScript JSX", 0, 8, 0, 0, 2, 10
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\App.tsx", "TypeScript JSX", 0, 13, 0, 1, 3, 17
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\api\axios.ts", "TypeScript", 0, 0, 17, 1, 2, 20
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\components\chart\index.tsx", "TypeScript JSX", 0, 58, 0, 3, 7, 68
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\components\label\index.tsx", "TypeScript JSX", 0, 33, 0, 1, 8, 42
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\components\label\styles.ts", "TypeScript", 0, 0, 62, 7, 9, 78
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\components\logo\index.tsx", "TypeScript JSX", 0, 64, 0, 0, 15, 79
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\components\router-link\index.tsx", "TypeScript JSX", 0, 8, 0, 1, 5, 14
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\components\scrollbar\index.tsx", "TypeScript JSX", 0, 34, 0, 1, 10, 45
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\components\scrollbar\styles.tsx", "TypeScript JSX", 0, 21, 0, 1, 5, 27
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\constant\index.ts", "TypeScript", 0, 0, 1, 0, 0, 1
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\hooks\use-chart.tsx", "TypeScript JSX", 0, 169, 0, 22, 26, 217
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\hooks\use-pathname.tsx", "TypeScript JSX", 0, 6, 0, 1, 4, 11
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\hooks\use-reponsive.tsx", "TypeScript JSX", 0, 19, 0, 1, 10, 30
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\hooks\use-scroll-to-top.tsx", "TypeScript JSX", 0, 9, 0, 0, 5, 14
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\index.css", "CSS", 13, 0, 0, 0, 2, 15
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\index.tsx", "TypeScript JSX", 0, 25, 0, 3, 4, 32
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\layouts\dashboard\config-layout.ts", "TypeScript", 0, 0, 8, 0, 2, 10
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\layouts\dashboard\config-navigation.tsx", "TypeScript JSX", 0, 27, 0, 0, 2, 29
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\layouts\dashboard\header.tsx", "TypeScript JSX", 0, 52, 0, 0, 4, 56
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\layouts\dashboard\index.tsx", "TypeScript JSX", 0, 23, 0, 0, 3, 26
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\layouts\dashboard\main.tsx", "TypeScript JSX", 0, 28, 0, 0, 5, 33
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\layouts\dashboard\nav.tsx", "TypeScript JSX", 0, 146, 0, 4, 18, 168
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\mock\account.ts", "TypeScript", 0, 0, 5, 1, 2, 8
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\mock\image.ts", "TypeScript", 0, 0, 26, 0, 0, 26
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\mock\room.ts", "TypeScript", 0, 0, 82, 0, 0, 82
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\mock\user.ts", "TypeScript", 0, 0, 80, 0, 2, 82
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Staff_FE\src\models\hotel.ts", "TypeScript", 0, 0, 18, 0, 1, 19
